X,Y,z,Date,Location,Violation,Owed,Amount,Unnamed: 8,Unnamed: 9,Unnamed: 10
-8475100.93,5318300.757551,24511939,2024-08-07 10:39:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudicate 30 days Pay or Appeal,25,-76.133127,43.041566,100819
-8475106.273,5318307.15471085,24511940,2024-08-07 10:40:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.133175,43.041608,100820
-8475106.273,5318307.15471085,24511941,2024-08-07 10:41:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Partial ,25,-76.133175,43.041608,100822
-8475106.273,5318307.15471085,24511942,2024-08-07 10:41:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Partial ,25,-76.133175,43.041608,100825
-8475145.681,5318310.50560585,24511943,2024-08-07 10:42:00+00:00,200 marshall st,NO STOPPING ANY TIME CO15-316 (A)14,Collections,25,-76.133529,43.04163,100826
-8475155.254,5318291.16181944,24511944,2024-08-07 10:44:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133615,43.041503,100828
-8475148.575,5318303.34687708,24511945,2024-08-07 10:44:00+00:00,200 marshall st,NO STOPPING ANY TIME CO15-316 (A)14,Collections,25,-76.133555,43.041583,100830
-8475168.612,5318299.3867316,24511946,2024-08-07 10:47:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.133735,43.041557,100831
-8475196.888,5318310.04866555,24511948,2024-08-07 10:47:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Sustained,25,-76.133989,43.041627,100833
-8475196.888,5318310.04866555,24511947,2024-08-07 10:47:00+00:00,200 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Sustained,25,-76.133989,43.041627,100834
-8475207.463,5318345.69007591,24511949,2024-08-07 10:48:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134084,43.041861,100836
-8475227.278,5318313.39956159,24511950,2024-08-07 10:49:00+00:00,200 marshall st,NO STOPPING ANY TIME CO15-316 (A)14,Collections,25,-76.134262,43.041649,100838
-8475208.131,5318337.46512299,24511951,2024-08-07 10:50:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.13409,43.041807,100841
-8475210.802,5318327.56472631,24511952,2024-08-07 10:50:00+00:00,200 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134114,43.041742,100842
-8475030.966,5318551.3162517,24511953,2024-08-07 13:14:00+00:00,700 walnut ave,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Collections,25,-76.1324985,43.043211,100891
-8475419.749,5318305.32695045,24523149,2024-08-07 15:00:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.135991,43.041596,100979
-8475348.171,5318307.45933762,24523150,2024-08-07 15:02:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.135348,43.04161,100982
-8475314.107,5318305.78389051,24523151,2024-08-07 15:03:00+00:00,100 marshall st,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,-76.135042,43.041599,100983
-8475302.752,5318308.37321798,24523152,2024-08-07 15:05:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.13494,43.041616,100985
-8475296.296,5318303.19456376,24523153,2024-08-07 15:06:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134882,43.041582,100986
-8475288.837,5318302.1283706,24523154,2024-08-07 15:07:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.134815,43.041575,100988
,,434361D,2024-08-08 08:56:00+00:00,100 marshall st,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,,,109803
-8474745.264,5317754.73040317,24511954,2024-08-08 10:07:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129932,43.037981,102036
-8474745.264,5317754.73040317,24511955,2024-08-08 10:07:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.129932,43.037981,102042
-8474733.131,5317710.25763051,24511956,2024-08-08 10:09:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129823,43.037689,102044
-8474734.689,5317681.47228431,24511957,2024-08-08 10:10:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129837,43.0375,102053
-8474734.689,5317681.47228431,24511958,2024-08-08 10:10:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129837,43.0375,102059
-8474746.378,5317769.65624417,24511959,2024-08-08 10:12:00+00:00,700 comstock ave,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,60,-76.129942,43.038079,102065
-8474745.487,5317839.71663273,24511960,2024-08-08 10:15:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129934,43.038539,102092
-8474745.487,5317839.71663273,24511961,2024-08-08 10:15:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129934,43.038539,102095
-8474745.487,5317839.71663273,24511962,2024-08-08 10:16:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129934,43.038539,102101
-8474749.606,5317853.57646748,24511963,2024-08-08 10:17:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.129971,43.03863,102104
-8474942.077,5318142.81001696,24511964,2024-08-08 10:28:00+00:00,700 comstock ave,NONE/ONE LICENSE PLATE/ALL VTL402-1,Paid In Full,25,-76.1317,43.040529,102146
-8474934.953,5318140.67766736,24511965,2024-08-08 10:29:00+00:00,700 comstock ave,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.131636,43.040515,102155
-8475107.108,5318278.51983894,24511975,2024-08-08 10:43:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1331825,43.04142,102258
-8475107.108,5318278.51983894,24511974,2024-08-08 10:43:00+00:00,300 walnut pl,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,-76.1331825,43.04142,102261
-8475107.108,5318278.51983894,24511976,2024-08-08 10:44:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1331825,43.04142,102270
-8475107.108,5318278.51983894,24511977,2024-08-08 10:45:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Void Approved,0,-76.1331825,43.04142,102273
-8475107.108,5318278.51983894,24511978,2024-08-08 10:46:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1331825,43.04142,102284
-8475107.108,5318278.51983894,24511979,2024-08-08 10:47:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1331825,43.04142,102287
-8475107.108,5318278.51983894,24511980,2024-08-08 10:48:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1331825,43.04142,102296
-8475107.108,5318278.51983894,24511981,2024-08-08 10:50:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Collections,25,-76.1331825,43.04142,102293
-8475107.108,5318278.51983894,24511982,2024-08-08 10:51:00+00:00,300 walnut pl,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.1331825,43.04142,102308
-8475458.934,5318312.94262115,24523162,2024-08-08 14:57:00+00:00,100 marshall st,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,-76.136343,43.041646,102435
-8475453.145,5318307.91627779,24523163,2024-08-08 14:58:00+00:00,100 marshall st,HANDICAP PRKNG ON-STR /ALL VTL1203(B)2,Paid In Full,100,-76.136291,43.041613,102446
-8475453.145,5318307.91627779,24523164,2024-08-08 14:59:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.136291,43.041613,102449
-8475444.462,5318304.8700104,24523165,2024-08-08 15:00:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.136213,43.041593,102452
-8475410.398,5318297.55897272,24523166,2024-08-08 15:02:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudicate 30 days Pay or Appeal,25,-76.135907,43.041545,102455
-8475410.398,5318297.55897272,24523167,2024-08-08 15:03:00+00:00,100 marshall st,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudicate 30 days Pay or Appeal,25,-76.135907,43.041545,102458
-8475410.398,5318297.55897272,24523168,2024-08-08 15:04:00+00:00,100 marshall st,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,25,-76.135907,43.041545,102461
